Updated On,State,Total Doses ,Sessions, Sites ,First Dose ,Second Dose ,Male ,Female ,Transgender, Covaxin ,CoviShield ,Sputnik V ,AEFI,18-44 Years ,45-60 Years,60+ Years 
16/01/2021,Andaman and Nicobar Islands,23,2,2,23,0,12,11,0,0,23,,,,,
17/01/2021,Andaman and Nicobar Islands,23,2,2,23,0,12,11,0,0,23,,,,,
18/01/2021,Andaman and Nicobar Islands,42,9,2,42,0,29,13,0,0,42,,,,,
19/01/2021,Andaman and Nicobar Islands,89,12,2,89,0,53,36,0,0,89,,,,,
20/01/2021,Andaman and Nicobar Islands,124,16,3,124,0,67,57,0,0,124,,,,,
21/01/2021,Andaman and Nicobar Islands,239,22,6,239,0,110,129,0,0,239,,,,,
22/01/2021,Andaman and Nicobar Islands,552,29,6,552,0,231,321,0,0,552,,,,,
23/01/2021,Andaman and Nicobar Islands,920,32,9,920,0,342,578,0,0,920,,,,,
24/01/2021,Andaman and Nicobar Islands,966,38,9,966,0,357,609,0,0,966,,,,,
25/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,
26/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,
27/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,
28/01/2021,Andaman and Nicobar Islands,1956,48,10,1956,0,563,1393,0,0,1956,,,,,
29/01/2021,Andaman and Nicobar Islands,2024,50,10,2024,0,588,1436,0,0,2024,,,,,
30/01/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,
31/01/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,
1/2/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,
2/2/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,
3/2/2021,Andaman and Nicobar Islands,2107,56,12,2107,0,601,1506,0,0,2107,,,,,
4/2/2021,Andaman and Nicobar Islands,2290,57,13,2290,0,659,1631,0,0,2290,,,,,
5/2/2021,Andaman and Nicobar Islands,2514,63,13,2514,0,705,1809,0,0,2514,,,,,
6/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
7/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
8/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
9/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
10/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
11/2/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,
12/2/2021,Andaman and Nicobar Islands,2852,74,14,2852,0,773,2079,0,0,2852,,,,,
13/02/2021,Andaman and Nicobar Islands,3040,74,14,3040,0,938,2102,0,0,3040,,,,,
14/02/2021,Andaman and Nicobar Islands,3040,78,14,3040,0,938,2102,0,0,3040,,,,,
15/02/2021,Andaman and Nicobar Islands,3467,78,14,3363,104,1176,2187,0,0,3363,,,,,
16/02/2021,Andaman and Nicobar Islands,3467,81,14,3363,104,1176,2187,0,0,3363,,,,,
17/02/2021,Andaman and Nicobar Islands,3664,86,14,3560,104,1343,2217,0,0,3560,,,,,
18/02/2021,Andaman and Nicobar Islands,3846,95,14,3505,341,1455,2050,0,0,3505,,,,,
19/02/2021,Andaman and Nicobar Islands,4898,101,14,4246,652,1805,2441,0,0,4246,,,,,
20/02/2021,Andaman and Nicobar Islands,5653,102,14,4707,946,2221,2486,0,0,4707,,,,,
21/02/2021,Andaman and Nicobar Islands,5653,102,14,4707,946,2221,2486,0,0,4707,,,,,
22/02/2021,Andaman and Nicobar Islands,6856,118,14,5358,1498,2773,2585,0,0,5358,,,,,
23/02/2021,Andaman and Nicobar Islands,7058,122,14,5436,1622,2831,2605,0,0,5436,,,,,
24/02/2021,Andaman and Nicobar Islands,7240,128,14,5518,1722,2896,2622,0,0,5518,,,,,
25/02/2021,Andaman and Nicobar Islands,7763,134,15,5867,1896,3103,2764,0,0,5867,,,,,
26/02/2021,Andaman and Nicobar Islands,7989,135,15,6029,1960,3205,2824,0,0,6029,,,,,
27/02/2021,Andaman and Nicobar Islands,7989,135,15,6029,1960,3205,2824,0,0,6029,,,,,
28/02/2021,Andaman and Nicobar Islands,7989,135,15,6029,1960,3205,2824,0,0,6029,,,,,
1/3/2021,Andaman and Nicobar Islands,7989,149,15,6029,1960,3205,2824,0,0,6029,,,,,
2/3/2021,Andaman and Nicobar Islands,8724,161,15,6638,2086,3630,3008,0,0,6638,,,,,
3/3/2021,Andaman and Nicobar Islands,8837,172,16,6749,2088,3721,3028,0,0,6749,,,,,
4/3/2021,Andaman and Nicobar Islands,9361,182,16,7266,2095,4133,3133,0,0,7266,,,,,
5/3/2021,Andaman and Nicobar Islands,9897,198,16,7799,2098,4559,3240,0,0,7799,,,,,
6/3/2021,Andaman and Nicobar Islands,10498,224,16,8288,2210,4915,3373,0,0,8288,,,,,
7/3/2021,Andaman and Nicobar Islands,11101,227,16,8848,2253,5251,3597,0,0,8848,,,,,
8/3/2021,Andaman and Nicobar Islands,12004,261,16,9629,2375,5872,3757,0,0,9629,,,,,
9/3/2021,Andaman and Nicobar Islands,9932,500,5,7542,2390,6068,3864,0,0,9932,,,,,
10/3/2021,Andaman and Nicobar Islands,10161,300,3,7735,2426,6211,3950,0,0,10161,,,,,
11/3/2021,Andaman and Nicobar Islands,10704,700,7,8218,2486,6591,4113,0,0,10704,,,,,
12/3/2021,Andaman and Nicobar Islands,11321,700,7,8735,2586,6977,4344,0,0,11321,,,,,
13/03/2021,Andaman and Nicobar Islands,11638,200,2,8899,2739,7188,4450,0,0,11638,,,,,
14/03/2021,Andaman and Nicobar Islands,11693,100,1,8926,2767,7218,4475,0,0,11693,,,,,
15/03/2021,Andaman and Nicobar Islands,12045,500,5,9202,2843,7401,4644,0,0,12045,,,,,
16/03/2021,Andaman and Nicobar Islands,14826,700,7,11950,2876,7391,4559,0,0,14826,,1,,,
17/03/2021,Andaman and Nicobar Islands,15489,0,0,12509,2980,7719,4790,0,0,15489,,1,,,
18/03/2021,Andaman and Nicobar Islands,16131,800,8,12948,3183,7962,4986,0,0,16131,,1,,,
19/03/2021,Andaman and Nicobar Islands,16612,1000,10,13293,3319,8148,5145,0,0,16612,,1,,,
20/03/2021,Andaman and Nicobar Islands,17451,1100,11,13852,3599,8440,5412,0,0,17451,,1,,,
21/03/2021,Andaman and Nicobar Islands,17478,500,5,13868,3610,8449,5419,0,0,17478,,1,,,
22/03/2021,Andaman and Nicobar Islands,18085,2000,20,14327,3758,8706,5621,0,0,18085,,1,,,
23/03/2021,Andaman and Nicobar Islands,19121,2300,23,15017,4104,9055,5962,0,0,19121,,1,,,
24/03/2021,Andaman and Nicobar Islands,19693,1400,14,15247,4446,9159,6088,0,0,19693,,1,,,
25/03/2021,Andaman and Nicobar Islands,20318,2100,21,15652,4666,9355,6297,0,0,20318,,1,,,
26/03/2021,Andaman and Nicobar Islands,20789,1700,17,15933,4856,9518,6415,0,0,20789,,1,,,
27/03/2021,Andaman and Nicobar Islands,21356,1700,17,16292,5064,9709,6583,0,0,21356,,1,,,
28/03/2021,Andaman and Nicobar Islands,21358,1950,14,16293,5065,9710,6583,0,0,21358,,1,,,
29/03/2021,Andaman and Nicobar Islands,21357,1600,15,16292,5065,9709,6583,0,0,21357,,1,,,
30/03/2021,Andaman and Nicobar Islands,21840,1600,16,16701,5139,9939,6762,0,0,21840,,1,,,
31/03/2021,Andaman and Nicobar Islands,21938,1300,12,16798,5140,9989,6809,0,0,21938,,1,,,
1/4/2021,Andaman and Nicobar Islands,22608,1700,17,17435,5173,10347,7088,0,0,22608,,1,,,
2/4/2021,Andaman and Nicobar Islands,22738,1000,10,17559,5179,10407,7152,0,0,22738,,1,,,
3/4/2021,Andaman and Nicobar Islands,23221,1200,11,17998,5223,10633,7365,0,0,23221,,1,,,
4/4/2021,Andaman and Nicobar Islands,23901,1200,12,18677,5224,10996,7681,0,0,23901,,1,,,
5/4/2021,Andaman and Nicobar Islands,24774,1800,18,19499,5275,11437,8062,0,0,24774,,1,,,
6/4/2021,Andaman and Nicobar Islands,25766,2300,23,20445,5321,11897,8548,0,0,25766,,1,,,
7/4/2021,Andaman and Nicobar Islands,27978,2400,23,22631,5347,12986,9645,0,0,27978,,1,,,
8/4/2021,Andaman and Nicobar Islands,30766,2800,28,25363,5403,14405,10957,1,0,30766,,1,,,
9/4/2021,Andaman and Nicobar Islands,33217,2800,28,27698,5519,15582,12115,1,0,33217,,1,,,
10/4/2021,Andaman and Nicobar Islands,35433,3000,29,29863,5570,16690,13172,1,0,35433,,1,,,
11/4/2021,Andaman and Nicobar Islands,37624,2800,28,32012,5612,17866,14145,1,0,37624,,1,,,
12/4/2021,Andaman and Nicobar Islands,42285,3400,33,36572,5713,20175,16392,5,0,42285,,1,,,
13/04/2021,Andaman and Nicobar Islands,48845,3400,32,43013,5832,23433,19575,5,0,48845,,1,,,
14/04/2021,Andaman and Nicobar Islands,55595,3300,32,49654,5941,26959,22690,5,0,55595,,1,,,
15/04/2021,Andaman and Nicobar Islands,60857,4000,35,54778,6079,29685,25088,5,0,60857,,1,,,
16/04/2021,Andaman and Nicobar Islands,67662,4900,36,61339,6323,33196,28138,5,0,67662,,1,,,
17/04/2021,Andaman and Nicobar Islands,74019,4300,40,67451,6568,36435,31010,6,0,74019,,1,,,
18/04/2021,Andaman and Nicobar Islands,78153,4700,47,71275,6878,38500,32769,6,0,78153,,1,,,
19/04/2021,Andaman and Nicobar Islands,83028,4750,46,75675,7353,40893,34776,6,0,83028,,1,,,
20/04/2021,Andaman and Nicobar Islands,86910,4800,47,78973,7937,42718,36248,7,0,86910,,1,,,
21/04/2021,Andaman and Nicobar Islands,89072,4100,40,80901,8171,43818,37076,7,0,89072,,1,,,
22/04/2021,Andaman and Nicobar Islands,91833,4200,42,83233,8600,45145,38081,7,0,91833,,1,,,
23/04/2021,Andaman and Nicobar Islands,94166,4200,42,85201,8965,46215,38978,8,0,94166,,1,,,
24/04/2021,Andaman and Nicobar Islands,96093,3900,37,86796,9297,47109,39679,8,0,96093,,1,,,
25/04/2021,Andaman and Nicobar Islands,97392,3500,35,87865,9527,47711,40146,8,0,97392,,1,,,
26/04/2021,Andaman and Nicobar Islands,99109,3500,34,89290,9819,48496,40786,8,0,99109,,1,,,
27/04/2021,Andaman and Nicobar Islands,100571,3500,34,90454,10117,49116,41330,8,0,100571,,1,,,
28/04/2021,Andaman and Nicobar Islands,101770,3100,31,91394,10376,49622,41764,8,0,101770,,1,,,
29/04/2021,Andaman and Nicobar Islands,102998,3200,32,92417,10581,50235,42174,8,0,102998,,1,,,
30/04/2021,Andaman and Nicobar Islands,104374,3200,31,93493,10881,50804,42681,8,0,104374,,1,,,
1/5/2021,Andaman and Nicobar Islands,105090,3300,33,94002,11088,51106,42888,8,0,105090,,1,,,
2/5/2021,Andaman and Nicobar Islands,105285,1400,13,94125,11160,51165,42952,8,0,105285,,1,,,
3/5/2021,Andaman and Nicobar Islands,106250,4000,32,94633,11617,51480,43145,8,0,106250,,1,,,
4/5/2021,Andaman and Nicobar Islands,107018,4100,36,95064,11954,51742,43314,8,0,107018,,1,,,
5/5/2021,Andaman and Nicobar Islands,107955,5400,46,95500,12455,51982,43510,8,0,107955,,1,,,
6/5/2021,Andaman and Nicobar Islands,109060,5100,46,96229,12831,52233,43988,8,0,109060,,1,,,
7/5/2021,Andaman and Nicobar Islands,110161,5400,48,96970,13191,52490,44472,8,0,110161,,1,,,
8/5/2021,Andaman and Nicobar Islands,111168,5000,44,97639,13529,52749,44882,8,0,111168,,1,,,
9/5/2021,Andaman and Nicobar Islands,111285,3800,38,97748,13537,52760,44980,8,0,111285,,1,,,
10/5/2021,Andaman and Nicobar Islands,112403,5200,44,98439,13964,53054,45377,8,0,112403,,1,,,
11/5/2021,Andaman and Nicobar Islands,113019,5500,44,98845,14174,53254,45583,8,0,113019,,2,,,
12/5/2021,Andaman and Nicobar Islands,113622,4600,41,99218,14404,53438,45772,8,0,113622,,2,,,
13/05/2021,Andaman and Nicobar Islands,114400,5300,44,99602,14798,53657,45937,8,0,114400,,2,,,
14/05/2021,Andaman and Nicobar Islands,114498,4400,39,99690,14808,53698,45984,8,0,114498,,2,,,
15/05/2021,Andaman and Nicobar Islands,115188,4000,35,100058,15130,53903,46147,8,0,115188,,2,,,
16/05/2021,Andaman and Nicobar Islands,115188,2120,21,100058,15130,53903,46147,8,0,115188,,2,,,
17/05/2021,Andaman and Nicobar Islands,115627,5655,33,100492,15135,54080,46403,9,0,115627,,2,,,
18/05/2021,Andaman and Nicobar Islands,115911,5115,31,100773,15138,54206,46558,9,0,115911,,2,,,
19/05/2021,Andaman and Nicobar Islands,116427,4710,31,101277,15150,54473,46795,9,0,116427,,2,,,
20/05/2021,Andaman and Nicobar Islands,117180,5612,34,102027,15153,54922,47096,9,0,117180,,2,,,
21/05/2021,Andaman and Nicobar Islands,117950,4403,32,102795,15155,55368,47418,9,0,117950,0,2,,,
22/05/2021,Andaman and Nicobar Islands,118761,5113,30,103605,15156,55814,47782,9,0,118761,0,2,,,
23/05/2021,Andaman and Nicobar Islands,119144,2200,17,103988,15156,55995,47984,9,0,119144,0,2,,,
24/05/2021,Andaman and Nicobar Islands,119595,4117,31,104439,15156,56243,48187,9,0,119595,0,2,,,
25/05/2021,Andaman and Nicobar Islands,120282,4457,30,105124,15158,56625,48490,9,0,120282,0,2,,,
26/05/2021,Andaman and Nicobar Islands,121091,2785,22,105933,15158,57048,48876,9,0,121091,0,3,,,
27/05/2021,Andaman and Nicobar Islands,121709,2985,20,106548,15161,57379,49160,9,0,121709,0,3,,,
28/05/2021,Andaman and Nicobar Islands,122466,4100,26,107304,15162,57843,49452,9,0,122466,0,3,,,
29/05/2021,Andaman and Nicobar Islands,123483,3491,24,108317,15166,58415,49893,9,0,123483,0,3,,,
30/05/2021,Andaman and Nicobar Islands,123725,367,5,108559,15166,58529,50021,9,0,123725,0,3,,,
31/05/2021,Andaman and Nicobar Islands,124268,1670,13,109087,15181,58809,50269,9,0,124268,0,3,,,
1/6/2021,Andaman and Nicobar Islands,125007,1593,11,109821,15186,59205,50607,9,0,125007,0,3,,,
2/6/2021,Andaman and Nicobar Islands,125514,1702,9,110323,15191,59440,50874,9,0,125514,0,3,,,
3/6/2021,Andaman and Nicobar Islands,126200,2728,11,111001,15199,59832,51160,9,0,126200,0,3,,,
4/6/2021,Andaman and Nicobar Islands,126713,2345,8,111506,15207,60106,51391,9,0,126713,0,3,,,
5/6/2021,Andaman and Nicobar Islands,127194,1872,11,111971,15223,60338,51624,9,0,127194,0,3,,,
6/6/2021,Andaman and Nicobar Islands,127202,9,2,111979,15223,60343,51627,9,0,127202,0,3,,,
7/6/2021,Andaman and Nicobar Islands,127759,2052,7,112507,15252,60589,51909,9,0,127759,0,3,,,
8/6/2021,Andaman and Nicobar Islands,128195,2044,9,112917,15278,60801,52107,9,0,128195,0,3,,,
9/6/2021,Andaman and Nicobar Islands,128498,2970,10,113207,15291,60959,52239,9,0,128498,0,3,,,
10/6/2021,Andaman and Nicobar Islands,129402,2546,13,114098,15304,61439,52650,9,0,129402,0,3,,,
11/6/2021,Andaman and Nicobar Islands,130173,2229,13,114850,15323,61799,53042,9,0,130173,0,3,,,
12/6/2021,Andaman and Nicobar Islands,131060,1934,9,115708,15352,62236,53463,9,0,131060,0,3,,,
13/06/2021,Andaman and Nicobar Islands,131063,50,1,115711,15352,62237,53465,9,0,131063,0,3,,,
14/06/2021,Andaman and Nicobar Islands,132004,1865,11,116632,15372,62734,53889,9,0,132004,0,3,,,
15/06/2021,Andaman and Nicobar Islands,132939,2427,17,117545,15394,63246,54290,9,0,132939,0,3,,,
16/06/2021,Andaman and Nicobar Islands,133931,2065,12,118511,15420,63789,54713,9,0,133931,0,3,,,
17/06/2021,Andaman and Nicobar Islands,134897,2245,12,119448,15449,64313,55126,9,0,134897,0,3,,,
18/06/2021,Andaman and Nicobar Islands,135850,2887,14,120382,15468,64799,55574,9,0,135850,0,3,,,
19/06/2021,Andaman and Nicobar Islands,136707,1479,7,121201,15506,65192,56000,9,0,136707,0,3,,,
20/06/2021,Andaman and Nicobar Islands,136708,0,0,121202,15506,65192,56001,9,0,136708,0,3,,,
21/06/2021,Andaman and Nicobar Islands,137495,2383,11,121964,15531,65593,56362,9,0,137495,0,3,,,
22/06/2021,Andaman and Nicobar Islands,140296,5495,26,124729,15567,67079,57641,9,0,140296,0,3,,,
23/06/2021,Andaman and Nicobar Islands,144234,6764,28,128630,15604,69052,59569,9,0,144234,0,3,,,
24/06/2021,Andaman and Nicobar Islands,149318,9343,29,133533,15785,71670,61850,13,0,149318,0,3,,,
25/06/2021,Andaman and Nicobar Islands,154100,8274,30,138254,15846,83794,70292,14,0,154100,0,3,51656,67120,35324
26/06/2021,Andaman and Nicobar Islands,159630,8241,27,143329,16301,86798,72815,17,0,159630,0,3,56617,67526,35487
27/06/2021,Andaman and Nicobar Islands,161325,2339,13,145019,16306,87680,73628,17,0,161325,0,3,58307,67530,35488
28/06/2021,Andaman and Nicobar Islands,165921,7974,28,148486,17435,90044,75860,17,0,165921,0,3,61518,68431,35972
29/06/2021,Andaman and Nicobar Islands,171590,10393,32,153048,18542,92908,78665,17,0,171590,0,3,65862,69218,36510
30/06/2021,Andaman and Nicobar Islands,176293,10468,33,156470,19823,95310,80964,19,0,176293,0,3,69071,70217,37005
1/7/2021,Andaman and Nicobar Islands,178502,7878,30,157304,21198,96483,82000,19,0,178502,0,3,69741,71163,37598
2/7/2021,Andaman and Nicobar Islands,181221,9151,33,158335,22886,97867,83335,19,0,181221,0,3,70570,72312,38339
3/7/2021,Andaman and Nicobar Islands,184103,9753,32,159330,24773,99370,84714,19,0,184103,0,3,71387,73632,39084
4/7/2021,Andaman and Nicobar Islands,184515,1360,10,159342,25173,99619,84877,19,0,184515,0,3,71388,73920,39207
5/7/2021,Andaman and Nicobar Islands,189428,15362,36,160292,29136,102139,87269,20,0,189428,0,3,72136,76477,40815
6/7/2021,Andaman and Nicobar Islands,196475,17759,35,161400,35075,105638,90816,21,0,196475,0,3,73106,80471,42898
7/7/2021,Andaman and Nicobar Islands,202865,16104,34,162373,40492,108926,93918,21,0,202865,0,3,73937,84239,44689
8/7/2021,Andaman and Nicobar Islands,208594,19572,37,163284,45310,111944,96629,21,0,208594,0,3,74707,87584,46303
9/7/2021,Andaman and Nicobar Islands,215725,17143,34,164079,51646,115730,99973,22,0,215725,0,3,75402,91993,48330
10/7/2021,Andaman and Nicobar Islands,222583,12713,32,166096,56487,119313,103248,22,0,222583,0,3,77275,95472,49836
11/7/2021,Andaman and Nicobar Islands,223059,1151,4,166343,56716,119576,103460,23,0,223059,0,3,77512,95621,49926
12/7/2021,Andaman and Nicobar Islands,230450,16446,34,168328,62122,123510,106914,26,0,230450,0,3,79335,99506,51609
13/07/2021,Andaman and Nicobar Islands,236645,15170,36,170392,66253,126867,109752,26,0,236645,0,5,81261,102528,52856
14/07/2021,Andaman and Nicobar Islands,246669,14516,35,177013,69656,132184,114458,27,0,246669,0,5,83934,107596,55139
15/07/2021,Andaman and Nicobar Islands,251147,13856,34,178771,72376,134612,116508,27,0,251147,0,5,85619,109517,56011
16/07/2021,Andaman and Nicobar Islands,254814,12371,35,179879,74935,136529,118257,28,0,254814,0,5,86722,111285,56807
17/07/2021,Andaman and Nicobar Islands,257871,12915,34,180673,77198,138169,119673,29,0,257871,0,5,87435,113034,57402
18/07/2021,Andaman and Nicobar Islands,258110,1733,12,180805,77305,138291,119790,29,0,258110,0,5,87575,113106,57429
19/07/2021,Andaman and Nicobar Islands,261259,12786,37,181725,79534,140027,121202,30,0,261259,0,5,88293,114847,58119
20/07/2021,Andaman and Nicobar Islands,265699,13321,35,184157,81542,142402,123266,31,0,265699,0,5,90521,116454,58724
21/07/2021,Andaman and Nicobar Islands,265754,0,0,184160,81594,142431,123292,31,0,265754,0,5,90524,116486,58744
22/07/2021,Andaman and Nicobar Islands,270664,12936,33,187006,83658,145064,125569,31,0,270664,0,5,93212,118012,59440
23/07/2021,Andaman and Nicobar Islands,275377,13534,34,190151,85226,147525,127820,32,0,275377,0,5,96192,119198,59987
24/07/2021,Andaman and Nicobar Islands,279195,13077,34,192718,86477,149484,129677,34,0,279195,0,5,98627,120147,60421
25/07/2021,Andaman and Nicobar Islands,279839,2817,16,193281,86558,149816,129989,34,0,279839,0,5,99170,120205,60464
26/07/2021,Andaman and Nicobar Islands,282966,10665,38,195082,87884,151417,131514,35,0,282966,0,5,100808,121268,60890
27/07/2021,Andaman and Nicobar Islands,286856,10358,32,197991,88865,153481,133340,35,0,286856,0,5,103580,122102,61174
28/07/2021,Andaman and Nicobar Islands,290801,0,0,201244,89557,155413,135352,36,0,290801,0,5,106635,122708,61458
29/07/2021,Andaman and Nicobar Islands,294198,9366,30,203975,90223,157098,137064,36,0,294198,0,5,109302,123220,61676
30/07/2021,Andaman and Nicobar Islands,296896,8147,34,206031,90865,158438,138421,37,0,296896,0,5,111377,123691,61828
31/07/2021,Andaman and Nicobar Islands,298969,8992,35,207419,91550,159508,139424,37,0,298969,0,5,112608,124324,62037
1/8/2021,Andaman and Nicobar Islands,301367,140,1,209737,91630,160772,140557,38,0,301367,0,5,112946,125705,62716
2/8/2021,Andaman and Nicobar Islands,302726,6337,33,210578,92148,161454,141234,38,0,302726,0,5,113766,126085,62875
3/8/2021,Andaman and Nicobar Islands,304142,5780,28,211561,92581,162185,141919,38,0,304142,0,5,114633,126468,63041
4/8/2021,Andaman and Nicobar Islands,305729,7141,31,212571,93158,163008,142682,39,0,305729,0,5,115654,126889,63186
5/8/2021,Andaman and Nicobar Islands,307014,5504,30,213457,93557,163740,143234,40,0,307014,0,5,116510,127204,63300
6/8/2021,Andaman and Nicobar Islands,308177,4193,29,214333,93844,164339,143798,40,0,308177,0,5,117212,127533,63432
7/8/2021,Andaman and Nicobar Islands,309270,5149,29,215021,94249,164868,144362,40,0,309270,0,5,117914,127834,63522
8/8/2021,Andaman and Nicobar Islands,309349,540,2,215077,94272,164902,144407,40,0,309349,0,5,117991,127835,63523
9/8/2021,Andaman and Nicobar Islands,310643,5325,31,216046,94597,165554,145049,40,0,310643,0,5,118865,128122,63656
10/8/2021,Andaman and Nicobar Islands,,,,,,,,,,,,,,,
11/8/2021,Andaman and Nicobar Islands,,,,,,,,,,,,,,,
12/8/2021,Andaman and Nicobar Islands,,,,,,,,,,,,,,,
13/08/2021,Andaman and Nicobar Islands,,,,,,,,,,,,,,,
14/08/2021,Andaman and Nicobar Islands,,,,,,,,,,,,,,,
15/08/2021,Andaman and Nicobar Islands,,,,,,,,,,,,,,,
16/01/2021,Andhra Pradesh,4216,541,339,4216,0,857,3359,0,0,4216,,,,,
17/01/2021,Andhra Pradesh,9251,1025,444,9251,0,1876,7374,1,0,9251,,,,,
18/01/2021,Andhra Pradesh,12234,1458,581,12234,0,2974,9260,0,0,12234,,,,,
19/01/2021,Andhra Pradesh,25539,2039,828,25539,0,9564,15975,0,0,25539,,,,,
20/01/2021,Andhra Pradesh,35901,3111,1125,35901,0,10940,24961,0,135,35766,,,,,
21/01/2021,Andhra Pradesh,45040,4286,1342,45040,0,12812,32228,0,395,44645,,,,,
22/01/2021,Andhra Pradesh,55697,5151,1412,55697,0,15918,39779,0,573,55124,,,,,
23/01/2021,Andhra Pradesh,70380,6375,1528,70380,0,20177,50203,0,947,69433,,,,,
24/01/2021,Andhra Pradesh,74221,6922,1593,74221,0,20948,53272,1,1087,73134,,,,,
25/01/2021,Andhra Pradesh,89879,7342,1629,89879,0,25497,64381,1,1984,87895,,,,,
26/01/2021,Andhra Pradesh,90616,7575,1658,90616,0,25689,64926,1,1995,88621,,,,,
27/01/2021,Andhra Pradesh,107999,7913,1713,107999,0,31152,76840,7,3166,104833,,,,,
28/01/2021,Andhra Pradesh,117543,8486,1745,117543,0,34950,82580,13,4631,112912,,,,,
29/01/2021,Andhra Pradesh,124647,8914,1779,124647,0,37524,87110,13,5812,118835,,,,,
30/01/2021,Andhra Pradesh,133571,9514,1808,133571,0,40740,92814,17,7925,125646,,,,,
31/01/2021,Andhra Pradesh,133623,9940,1818,133623,0,40757,92849,17,7925,125698,,,,,
1/2/2021,Andhra Pradesh,133642,10327,1843,133642,0,40763,92862,17,7925,125717,,,,,
2/2/2021,Andhra Pradesh,133646,11480,2392,133646,0,40765,92864,17,7925,125721,,,,,
3/2/2021,Andhra Pradesh,161302,12258,2490,161302,0,56129,105152,21,10893,150409,,,,,
4/2/2021,Andhra Pradesh,188704,13539,2591,188704,0,72231,116449,24,13959,174745,,,,,
5/2/2021,Andhra Pradesh,218899,14549,2673,218899,0,90167,128708,24,17464,201435,,,,,
6/2/2021,Andhra Pradesh,245938,15374,2722,245938,0,105960,139953,25,20484,225454,,,,,
7/2/2021,Andhra Pradesh,249205,15966,2772,249205,0,108137,141043,25,20627,228578,,,,,
8/2/2021,Andhra Pradesh,263588,16965,2800,263588,0,116724,146839,25,23315,240273,,,,,
9/2/2021,Andhra Pradesh,275654,17614,2826,275654,0,124433,151194,27,26245,249409,,,,,
10/2/2021,Andhra Pradesh,286401,18589,2865,286401,0,131060,155314,27,29230,257171,,,,,
11/2/2021,Andhra Pradesh,294574,19437,2914,294574,0,135823,158721,30,31656,262918,,,,,
12/2/2021,Andhra Pradesh,303031,20646,2934,303031,0,140600,162400,31,33536,269495,,,,,
13/02/2021,Andhra Pradesh,319740,22222,2959,313507,6233,144054,169422,31,34633,278874,,,,,
14/02/2021,Andhra Pradesh,319743,22755,2965,313509,6234,144055,169423,31,34634,278875,,,,,
15/02/2021,Andhra Pradesh,345830,23889,2995,329041,16789,148538,180470,33,35388,293653,,,,,
16/02/2021,Andhra Pradesh,370880,25140,3012,344146,26734,153041,191072,33,36414,307732,,,,,
17/02/2021,Andhra Pradesh,402851,26455,3046,364844,38007,160016,204789,39,37477,327367,,,,,
18/02/2021,Andhra Pradesh,414038,27439,3102,359785,54253,160812,198938,35,38015,321770,,,,,
19/02/2021,Andhra Pradesh,476505,28331,3134,403279,73226,174122,229118,39,39850,363429,,,,,
20/02/2021,Andhra Pradesh,501288,29308,3152,413818,87470,179244,234535,39,41060,372758,,,,,
21/02/2021,Andhra Pradesh,509044,29994,3171,418634,90410,181302,237293,39,41740,376894,,,,,
22/02/2021,Andhra Pradesh,534507,31021,3232,431789,102718,188071,243679,39,43806,387983,,,,,
23/02/2021,Andhra Pradesh,559483,32298,3362,448490,110993,196967,251481,42,47078,401412,,,,,
24/02/2021,Andhra Pradesh,596327,33332,3398,476866,119461,217419,259404,43,53659,423207,,,,,
25/02/2021,Andhra Pradesh,639187,34220,3409,510185,129002,240092,270049,44,60574,449611,,,,,
26/02/2021,Andhra Pradesh,673767,34950,3414,535955,137812,256973,278935,47,65196,470759,,,,,
27/02/2021,Andhra Pradesh,673767,34950,3414,535955,137812,256973,278935,47,65196,470759,,,,,
28/02/2021,Andhra Pradesh,673767,35027,3432,535955,137812,256973,278935,47,65196,470759,,,,,
1/3/2021,Andhra Pradesh,673767,38076,3848,535955,137812,256973,278935,47,65196,470759,,,,,
2/3/2021,Andhra Pradesh,702035,44866,3900,559569,142466,272575,286947,47,67418,492151,,,,,
3/3/2021,Andhra Pradesh,724119,51667,3942,577662,146457,284104,293510,48,69578,508084,,,,,
4/3/2021,Andhra Pradesh,749445,69948,4470,596324,153121,295529,300746,49,71701,524623,,,,,
